,0,1,2
67,"['8f8cb9644b042ae93337fcf9ef73503640a49c84', 0.004841158302258896]","['c380eec4b91903197b7a8e6840e29f1d9bd2ed55', 1.028982354591462]","['de3d69016bab58c921243c2774f95232b797f142', 1.2926557549286524]"
68,"['14cef764a03ec7517327273db2dfa64eb9bd85f5', 0.029156005467463934]","['21ce7bc027cab867ddb200c8752dc3677ed365de', 0.0240074919014864]","['63fdc98c6ffa8e3210f91767d978c637bd735dc3', 0.0812965991313181]"
69,"['323a7e99c4b4d028ebdb8ae357184c1083c80111', 0.006955481897414446]","['c6bbd3a3f112e6a1e239c4a9418aafed49160099', 0.007423035091381199]","['e6d84e6ec436a7c9352a75791c17b4417f526422', 0.0013410051591348521]"
70,"['2addb94bfc8c121eba4027329f40261baeb57db9', 0.013352178806201756]","['37501be7a43f0b0fd46ffc6f8d950ef73f1b86c9', 0.015396177475757703]","['ae0933ef9bd5428a86cf0fbd93d1497795b8649b', 0.0008641738652661213]"
71,"['224512f5c1dd10c66f571ebb9771442f5caba5d7', 0.08492837770786975]","['81de622a9b7bb363f146f2b857446fa5e77c83cb', 0.001506124345148261]","['d5b271f7ccb8512abef7e3692aab7105ee09afb7', 0.16586777683420967]"
72,"['5e936a942db25c877216606d3b58afa309b8c004', 0.03295517851674787]","['93877f630e7d8f0f543b8ee0311b872d9614c192', 0.08564606618644127]","['9df2afa62e89e56ccf9941a419df91ecc4a27ce3', 0.1448957672205556]"
73,"['134324d7f68ce53b266481637f1846a7bd90a485', 0.052430353574159115]","['4328b0696508733685a24ff1253e049e1736a88f', 0.02820675150204045]","['640d97943c20d2b8779b74c453a3caf25f5aa5d7', 0.046117137005775986]"
74,"['19df6e95450ac19615be3e0f26ed0446a69ccdd2', 0.004062828586720005]","['5142bb6a6d427151640f555e16d8e0b81b4c1557', 0.006265700077775385]","['8f72e86eea128b90afc47ef9ad01f8e4c49fa369', 0.009784055289866521]"
75,"['0993e0edd235b1842d732bf3448a0a8aa1837dd9', 0.0021651127045821997]","['3888e70da65d785c58d972e8a7e41f3ca651ce71', 0.008753430675009754]","['a229b7973d60891436df091fd88577d6581e8f3f', 0.004006058629719925]"
76,"['2abbc82f0d6c4991f9b41a7dbe6a086a9be8543a', 0.0024193409554649236]","['31d3e86098bb8cdd057621f558ff051197ce2516', 0.0003412601443566309]","['81ca6f33c8edb1b2d1c73ed3ae090b46feb5d7d4', 0.0016839188625038866]"
77,"['0add99d62e77a25708f79f0813b67b41a8af7310', 0.009916438398297926]","['8dbece1ec62faba77046b35e1f18e85bdbec0de4', 0.12385822212300866]","['dfa533cd1f8e28a9b87c6e15f0742e9398e81245', 0.09052949790832938]"
78,"['1dbd72e280393fce41ef9aeccaab2e26514c6b77', 0.0028356358898071706]","['4f53224596424ad773f49bdb30a1146cb9602786', 0.02642011404599942]","['6bab2ad0f6c812d16f521c323c37f0c1c2fa8e33', 0.004596474200103793]"
79,"['459a7cba6ef37918e998a395a6e4356f11518fbe', 0.040212492736239426]","['8c45d16d01509d28af6463352113c825a88f7baa', 0.10394823072018786]","['b67ef57277ae81866ea1b1fdb96cdde3868fff40', 0.026225339460209846]"
80,"['2b6b0d514e6a5860821c0ffc6cc592cfb47a398b', 0.0021218260347171274]","['a7776a340c8f400169c4d920ff050540871bae85', 0.003944379545107381]","['e0f08af1eb449b3e5e1a61a130c4ffb2c3e3cb04', 0.0034016097158525087]"
81,"['2b6b0d514e6a5860821c0ffc6cc592cfb47a398b', 0.0021218260347171274]","['a7776a340c8f400169c4d920ff050540871bae85', 0.003944379545107381]","['e0f08af1eb449b3e5e1a61a130c4ffb2c3e3cb04', 0.0034016097158525087]"
82,"['997914e657c31da1c746fa9cc7d0c1282e7af8ae', 0.044346698822097345]","['a3225ac0d3fd9be209785d07fb76dc3145b9f9ca', 0.045239547039360825]","['c2e0b081e3b6207c5aefb72bdeec88136a3da00c', 0.03566781839605969]"
83,"['2b6b0d514e6a5860821c0ffc6cc592cfb47a398b', 0.0021218260347171274]","['a7776a340c8f400169c4d920ff050540871bae85', 0.003944379545107381]","['e0f08af1eb449b3e5e1a61a130c4ffb2c3e3cb04', 0.0034016097158525087]"
84,"['b2c6d049740b35230e331920792b9cf222e4c6ed', 0.00021331514925418475]","['bf89d6b3ab2d6ef0d07f0290c453badff0210c23', 0.005889112602721955]","['c07e2bc52e3b7781356d57716a298c51d6a17912', 0.016122218771524203]"
85,"['0376d5335bced59e6081839ea4e7ce1707e3bb86', 0.005341866543984365]","['a7776a340c8f400169c4d920ff050540871bae85', 0.026046533465338004]","['e0f08af1eb449b3e5e1a61a130c4ffb2c3e3cb04', 0.021344469428662242]"
86,"['54c95d944df39e9ab0b28e581ac061424778ae2a', 1.3962589333530442]","['6eb4797ee6fc36dcb86a8ddb103e5a941968c25c', 1.1427227105083029]","['9689a9983ba53fbcb8291daa1b74f0218b2a367c', 1.4116199350205934]"
87,"['2b6b0d514e6a5860821c0ffc6cc592cfb47a398b', 0.0021218260347171274]","['a7776a340c8f400169c4d920ff050540871bae85', 0.003944379545107381]","['e0f08af1eb449b3e5e1a61a130c4ffb2c3e3cb04', 0.0034016097158525087]"
88,"['6ec11d167d908d8b541b178a3f49e426a0452843', 0.03861476999354601]","['a06e9604c5dac20038911e83271b6a01f43ba635', 0.01924843561364461]","['a9b56939c06ba3cb75608c4b27d2c13a08f0d975', 0.03706792461292822]"
89,"['193e0e1828a6d990beb061ee5c0dccb00607065c', 0.08347458236802763]","['2b6b0d514e6a5860821c0ffc6cc592cfb47a398b', 0.06510812144345134]","['a7776a340c8f400169c4d920ff050540871bae85', 0.08349341446480213]"
90,"['56c6b5dd5b2b811b9a80872f1e1f36737d51e7de', 0.0022120328251086026]","['d17964b524e82cf121ec510394350787609fe164', 0.018694798734042565]","['fba97a202f67bd77f5012cf25f27438cd5f14a3e', 0.0022096311631237572]"
91,"['734142268d6ed0fc0793d1dcbe5a47a7cfd55c75', 0.0028897671915011757]","['a1978105c078b200c84789c0423a4297c51740b9', 0.011834075351958477]","['f763dc4bbc1e181512ec7f5906d8f00e8644cb1f', 0.00849252976180537]"
92,"['51290da9afb06be3c111866209bb6b0924d57950', 0.16673801541275798]","['bb3789d97e85a28b161aa6f2594fbae98e2260de', 0.08400654895762917]","['c395c8ddae61be5eaacf172a14daa83c587cadb4', 0.197928988636859]"
93,"['2b6b0d514e6a5860821c0ffc6cc592cfb47a398b', 0.0021218260347171274]","['a7776a340c8f400169c4d920ff050540871bae85', 0.003944379545107381]","['e0f08af1eb449b3e5e1a61a130c4ffb2c3e3cb04', 0.0034016097158525087]"
94,"['a4e167401c84d6afe3cc5ca08219b689171c07ed', 0.007944316325668773]","['b1b30417a49eac759c63d9dda9153062c596b9b4', 0.01578644618325623]","['f95e13f5ebb40be3598137c4039b18ca8a9178ba', 0.08679613534567182]"
95,"['2b6b0d514e6a5860821c0ffc6cc592cfb47a398b', 0.0021218260347171274]","['a7776a340c8f400169c4d920ff050540871bae85', 0.003944379545107381]","['e0f08af1eb449b3e5e1a61a130c4ffb2c3e3cb04', 0.0034016097158525087]"
96,"['2b6b0d514e6a5860821c0ffc6cc592cfb47a398b', 0.0021218260347171274]","['a7776a340c8f400169c4d920ff050540871bae85', 0.003944379545107381]","['e0f08af1eb449b3e5e1a61a130c4ffb2c3e3cb04', 0.0034016097158525087]"
97,"['2abbc82f0d6c4991f9b41a7dbe6a086a9be8543a', 0.0024193409554649236]","['31d3e86098bb8cdd057621f558ff051197ce2516', 0.0003412601443566309]","['81ca6f33c8edb1b2d1c73ed3ae090b46feb5d7d4', 0.0016839188625038866]"
